feature,importance,std
tenure,0.17334030845539788,0.005100700347520783
InternetService,0.07033403084553966,0.009397630194141056
Contract,0.03418701077268836,0.004035317142747926
TotalCharges,0.015165465395644284,0.002453287094230091
MonthlyCharges,0.011422666563331418,0.003203925857116362
n_protection_services,0.005201761864165821,0.0011540849258067849
PaymentMethod,0.0032462734764523993,0.0015596249946135813
PhoneService,0.003052132578986666,0.0012082795131767331
PaperlessBilling,0.0028258286186673477,0.001573923249784675
MultipleLines,0.0015635898628224565,0.0012741032372477227
SeniorCitizen,0.0011312614637421948,0.0003773151493888927
OnlineSecurity,0.0010669353380349355,0.0007007606559048822
TechSupport,0.0007464672298430508,0.0007911689998243577
Dependents,0.0007446588648633123,0.0009491825046154349
n_streaming_services,0.0004098530057607852,0.0012332376580177478
DeviceProtection,0.00022410808855809482,0.00040647482943647966
OnlineBackup,5.373427368300376e-05,0.00010375762918332027
Partner,-2.518794078908426e-05,0.00015125151885561055
StreamingTV,-6.109690252925626e-05,0.0008710315890632263
StreamingMovies,-7.930972125361758e-05,0.0006431728558764632
